===Datenbank sql1704097

== Tabellenstruktur für Tabelle reading

|------
|Spalte|Typ|Null|Standard
|------
|//**rid**//|int(3)|Nein|
|eidevice|varchar(20)|Nein|
|datetime|varchar(30)|Nein|
|state|varchar(255)|Nein|
== Daten für Tabelle reading

|47|232120b236a7c9ee|2019/10/3103:35:32pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.3&quot;, &quot;light&quot;: 55357, &quot;voltage&quot;: 3.279 }
|48|232120b236a7c9ee|2019/10/3103:35:52pm|{ &quot;external&quot;: &quot;27.4&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 50172, &quot;voltage&quot;: 3.277 }
|49|232120b236a7c9ee|2019/10/3103:36:12pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 39161, &quot;voltage&quot;: 3.277 }
|50|232120b236a7c9ee|2019/10/3103:36:32pm|{ &quot;external&quot;: &quot;27.4&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 41738, &quot;voltage&quot;: 3.279 }
|51|232120b236a7c9ee|2019/10/3103:36:52pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.0&quot;, &quot;light&quot;: 61919, &quot;voltage&quot;: 3.277 }
|52|232120b236a7c9ee|2019/10/3103:37:12pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.1&quot;, &quot;light&quot;: 61951, &quot;voltage&quot;: 3.279 }
|53|232120b236a7c9ee|2019/10/3103:37:32pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.2&quot;, &quot;light&quot;: 61919, &quot;voltage&quot;: 3.279 }
|54|232120b236a7c9ee|2019/10/3103:37:52pm|{ &quot;external&quot;: &quot;27.5&quot;, &quot;internal&quot;: &quot;27.3&quot;, &quot;light&quot;: 61935, &quot;voltage&quot;: 3.2820001 }
|55|232120b236a7c9ee|2019/10/3103:38:12pm|{ &quot;external&quot;: &quot;27.4&quot;, &quot;internal&quot;: &quot;27.3&quot;, &quot;light&quot;: 61919, &quot;voltage&quot;: 3.277 }
|56|232120b236a7c9ee|2019/10/3103:38:32pm|{ &quot;external&quot;: &quot;27.6&quot;, &quot;internal&quot;: &quot;27.3&quot;, &quot;light&quot;: 61791, &quot;voltage&quot;: 3.279 }
